Id,Año,Mes,Punto de Muestreo,Color Max: 15 Ud: pl/mg,Olor,Sabor,Cloro Libre,Turbidez,pH,Conductividad,Temperatura , Dureza,Nitratos,Nitritos,Amonio,Cloruros,Fluor,Sodio,Aluminio,Trihalometanos,Oxidabilidad,Bacterías Coliformes,Enterococos,Gérmenes Totales a 22ºC,Escherichia coli,Clostridium perfringens,Pseudomonas aeruginosa,Calcio,Magnesio
"65,""2023"",""abril"",""Salida de los depósitos de Roces"",""4"",""1"",""1"",""0,31"",""0,9"",""7,9"",""205"",""11,2"",""108"",""2,2"",""<0,025"",""<0,15"",""5,6"",""0,11"",""3,1"",""0,051"",""0,03"",""1,1"",""0"",""0"",""3"",""0"",""0"",""0"",""38,5"",""5,6"""
"64,""2023"",""marzo"",""Salida de los depósitos de Roces"",""5"",""1"",""1"",""0,49"",""1,1"",""7,8"",""198"",""12,7"",""98"",""2,3"",""<0,025"",""<0,15"",""4,4"",""0,15"",""2,8"",""0,025"",""0,03"",""1,1"",""0"",""0"",""1"",""0"",""0"",""0"",""38,0"",""5,4"""
"63,""2023"",""febrero"",""Salida de los depósitos de Roces"",""5"",""1"",""1"",""0,47"",""0,8"",""7,8"",""215"",""9,7"",""110"",""2,1"",""<0,025"",""<0,15"",""5,0"",""0,11"",""2,7"",""0,025"",""0,03"",""1,0"",""0"",""0"",""0"",""0"",""0"",""0"",""40,6"",""4,9"""
"62,""2023"",""enero"",""Salida de los depósitos de Roces"",""2"",""1"",""1"",""0,32"",""0,8"",""7,8"",""227"",""10,3"",""116"",""2,2"",""<0,025"",""<0,15"",""4,4"",""0,12"",""2,6"",""0,038"",""0,03"",""0,9"",""0"",""0"",""1"",""0"",""0"",""0"",""34,4"",""4,3"""
"61,""2022"",""diciembre"",""Salida de los depósitos de Roces"",""3"",""1"",""1"",""0,4"",""0,7"",""7,9"",""233"",""10,4"",""117"",""6,8"",""<0.025"",""<0,15"",""9,1"",""0,27"",""3,2"",""0,019"",""0,03"",""0,6"",""0"",""0"",""1"",""0"",""0"",""0"",""45,7"",""4,7"""
"60,""2022"",""noviembre"",""Salida de los depósitos de Roces"",""3"",""1"",""1"",""0,36"",""0,3"",""45145,0"",""221"",""12,3"",""110"",""1,5"",""<0.025"",""<0,15"",""3,7"",""0,11"",""2,9"",""0,028"",""0,03"",""0,2"",""0"",""0"",""0"",""0"",""0"",""0"",""38,2"",""5,5"""
"59,""2022"",""octubre"",""Salida de los depósitos de Roces"",""5"",""1"",""1"",""0,18"",""0,9"",""7,5"",""220"",""14,1"",""112"",""2,5"",""<0.025"",""<0,15"",""5,6"",""0,13"",""3,1"",""0,033"",""0,03"",""0,9"",""0"",""0"",""4"",""0"",""0"",""0"",""42,9"",""5,4"""
"58,""2022"",""septiembre"",""Salida de los depósitos de Roces"",""3"",""1"",""1"",""0,43"",""0,6"",""7,7"",""220"",""15,1"",""115"",""1,8"",""<0.025"",""<0,15"",""5,1"",""0,12"",""3,2"",""0,028"",""0,03"",""1,3"",""0"",""0"",""2"",""0"",""0"",""0"",""45,2"",""6"""
"57,""2022"",""agosto"",""Salida de los depósitos de Roces"",""2"",""1"",""1"",""0,42"",""0,3"",""7,8"",""216"",""15,3"",""108"",""1,6"",""<0.025 "",""<0,15"",""5,2"",""0,11"",""3,2"",""0,026"",""0,03"",""1,1"",""0"",""0"",""1"",""0"",""0"",""0"",""44,4"",""6"""
"56,""2022"",""julio"",""Salida de los depósitos de Roces"",""8"",""1"",""1"",""0,45"",""0,7"",""7,8"",""221"",""13,5"",""115"","""",""<0.025 "",""<0,15"","""","""","""",""0,024"",""0,03"",""0,7"",""0"",""0"",""1"",""0"",""0"",""0"","""","""""
